,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
0,5,5,4,3,2,20,3,5,1,1,2,20
1,6,2,1,3,1,4,1,2,1,1,1,4
2,7,16,9,35,12,24,5,1,4,1,3,35
3,13,325,36,780,323,323,30,13,5,1,6,780
4,14,8,1,8,3,21,2,2,2,1,1,21
5,15,4,1,4,1,15,2,1,2,1,1,15
6,21,4,3,7,2,12,1,1,2,3,1,12
7,22,50,49,33,35,140,3,2,5,1,7,140
8,23,24336,17689,80155,20748,41496,3485,1,156,1,133,80155
9,29,4901,4900,99,910,52780,99,29,13,1,70,52780
10,30,3,2,5,1,12,1,3,1,2,1,12
11,31,1600,81,720,287,8897,360,1,40,1,9,8897
12,34,9,8,17,6,24,1,1,3,2,2,24
13,37,777925,1764,450660,777923,777923,6090,37,145,1,42,777923
14,38,1250,289,1700,279,5301,425,2,25,1,17,5301
15,39,13,12,5,2,156,5,13,1,3,2,156
16,41,25,16,123,20,40,3,1,5,1,4,123
17,46,72,49,253,42,168,11,2,6,1,7,253
18,47,14561856,2289169,11547216,2097655,98589785,5773608,1,3816,1,1513,98589785
19,53,1873180325,1158313156,1472112483,202332130,21447205780,1472112483,53,5945,1,34034,21447205780
20,55,125,44,1100,117,117,10,5,5,11,2,1100
21,61,12079525,10227204,6428003,1423110,173619420,6428003,61,445,1,3198,173619420
22,62,39200,22801,177537,21140,84560,5727,2,140,1,151,177537
23,65,9,4,65,6,12,1,1,3,1,2,65
24,69,192,169,437,104,624,19,3,8,1,13,624
25,70,7,2,28,3,15,1,7,1,2,1,28
26,71,3600,121,1320,427,30317,660,1,60,1,11,30317
27,77,2816,2809,525,848,18656,75,11,16,1,53,18656
28,78,26,1,52,15,45,1,26,1,1,1,52
29,79,169000000,166952241,233126551,167973000,335946000,2950969,1,13000,1,12921,335946000
30,85,85,36,77,6,1020,77,85,1,1,6,1020
31,86,338,49,364,51,2193,91,2,13,1,7,2193
32,87,17956,169,3484,1925,167475,1742,1,134,1,13,167475
33,93,1444,75,1140,259,8029,190,1,38,3,5,8029
34,94,14112,529,7728,2057,96679,1932,2,84,1,23,96679
35,95,1445,76,6460,1443,1443,34,5,17,19,2,6460
36,101,44715091781,3975302500,267980280100,44538033219,44538033219,1326635050,101,21041,1,63050,267980280100
37,102,50,1,20,7,357,5,2,5,1,1,357
38,103,8780605285453456,7551929273974569,45463628564396045,8143126555471908,16286253110943816,441394452081515,1,93704884,1,86901837,45463628564396045
39,109,2725,1764,2077,210,45780,2077,109,5,1,42,45780
40,110,10,1,20,3,33,1,10,1,1,1,33
41,111,37,12,444,35,35,2,37,1,3,2,444
42,118,716311250,19298449,332550100,93221931,5500093929,83137525,2,18925,1,4393,5500093929
43,119,144,25,120,13,1547,60,1,12,1,5,1547
44,127,306317326339867638016,305111826865145547009,305955626559373590335,305713982408400781488,611427964816801562976,2409099421727351105,1,17501923504,1,17467450497,611427964816801562976
45,133,256036,143811,560455,44022,1672836,80065,1,506,19,87,1672836
46,134,2084882,14161,485996,254703,17065101,121499,2,1021,1,119,17065101
47,137,3425,3136,1377,280,76720,1377,137,5,1,56,76720
48,138,24,1,24,5,115,2,6,2,1,1,115
49,141,48,1,24,7,329,4,3,4,1,1,329
50,142,4918336200,164070481,2540793240,583374253,41419571963,635198310,2,49590,1,12809,41419571963
51,143,101124,1849,27348,8455,1209065,13674,1,318,1,43,1209065
52,145,29,20,21,2,580,21,29,1,5,2,580
53,149,93125,56644,73917,5950,1773100,73917,149,25,1,238,1773100
54,151,115600,35721,128520,8947,1350997,64260,1,340,1,189,1350997
55,154,9,2,12,1,77,3,1,3,2,1,77
56,157,443624018997429899709925,166136231668185267540804,6803298487826435051217540,411340519227716149383203,411340519227716149383203,21666555693714761309610,157,53156661805,1,407598125202,6803298487826435051217540
57,158,768800,579121,4494231,471820,1887280,56889,2,620,1,761,4494231
58,159,33124,11449,38948,2465,391935,19474,1,182,1,107,391935
59,161,16,7,69,4,56,3,1,4,7,1,69
60,165,16,11,45,4,88,3,1,4,11,1,88
61,166,197646962,96020401,1573875963,97411859,389647436,18962361,2,9941,1,9799,1573875963
62,167,115222229136,3447686089,39862266696,8912171435,1488332629645,19931133348,1,339444,1,58717,1488332629645
63,173,2404644000341688241925,2367961190733987384484,418416739097462232963,181421867613059954270,62771966194118744177420,418416739097462232963,173,3728226965,1,48661701478,62771966194118744177420
64,174,27,2,36,5,145,3,3,3,2,1,145
65,181,3073858021,1221502500,52138479900,2820733021,2820733021,144028950,181,4121,1,34950,52138479900
66,182,343,18,588,95,1235,21,7,7,2,3,1235
67,183,17853541,456300,77222340,17847709,17847709,210990,61,541,3,390,77222340
68,190,10,9,19,3,60,1,10,1,1,3,60
69,191,404727588018561600,384957657745092721,1726816796630813713,394718867434084440,789437734868168880,9040925636810543,1,636182040,1,620449561,1726816796630813713
70,194,97,72,65,6,2328,65,97,1,2,6,2328
71,197,1991322221917925,103880003159716,12767323300497220,1988610855961437,1988610855961437,32404373859130,197,3179345,1,10192154,12767323300497220
72,199,13933945152400,273684876201,3905642100360,987560631301,196524565628899,1952821050180,1,3732820,1,523149,196524565628899
73,205,45,4,60,7,287,6,5,3,1,2,287
74,206,3886472,1216609,6150328,363699,37460997,1537582,2,1394,1,1103,37460997
75,210,5,2,20,1,21,1,5,1,2,1,21
76,213,7680000,724201,8169600,907387,64424477,1361600,3,1600,1,851,64424477
77,214,195938,82369,1839009,89831,359324,17187,2,313,1,287,1839009
78,215,3844,361,2356,261,56115,1178,1,62,1,19,56115
79,219,121,48,264,13,949,44,1,11,3,4,949
80,221,13,4,52,3,51,2,13,1,1,2,52
81,222,12506,3481,113516,6935,20805,767,74,13,1,59,113516
82,223,50942322536708571136,14384824876061849889,54140424396948040704,3272522537901320465,729772525951994463695,27070212198474020352,1,7137389056,1,3792733167,729772525951994463695
83,226,81,32,144,7,791,36,1,9,2,4,791
84,229,874407840421,7574220900,2463052913820,874375035421,874375035421,5377844790,229,61793,1,87030,2463052913820
85,230,1127,722,1935,133,12236,387,23,7,2,19,12236
86,231,7,4,33,2,28,1,7,1,1,2,33
87,237,1888250116,104961675,1542182460,212116267,16757185093,257030410,1,43454,3,5915,16757185093
88,238,1800,1681,7021,1230,4920,59,2,30,1,41,7021
89,239,14400,14161,40391,14280,28560,169,1,120,1,119,40391
90,246,578,529,2583,391,1564,21,2,17,1,23,2583
91,247,35976004,34539129,158197325,35250246,70500492,640475,1,5998,1,5877,158197325
92,253,125316,91091,412735,32214,708708,17945,1,354,11,91,708708
93,254,147968,25921,175168,12927,1641729,43792,2,272,1,161,1641729
94,255,16,1,8,1,255,4,1,4,1,1,255
95,257,23409,10816,332815,15912,31824,1295,1,153,1,104,332815
96,262,107898050,91259809,658852317,70166785,280667140,5029407,2,7345,1,9553,658852317
97,263,2415046965407199886472444395015056,2196589972531420851340521356470969,16277526249841969031325182370950195,2303229894605810399672144140263708,4606459789211620799344288280527416,61891734790273646506939856923765,1,49143127346631084,1,46867792486220437,16277526249841969031325182370950195
98,265,49,4,28,3,795,14,1,7,1,2,795
99,269,1973658180741549394113125,6841040196454710370084,3811563648242244176683700,1973646324592395897327837,1973646324592395897327837,7084690795989301443650,269,85656402325,1,82710580922,3811563648242244176683700
100,271,90565100276929600,10384564009711761,61334462771650320,5465152340526343,1481056284282638953,30667231385825160,1,300940360,1,101904681,1481056284282638953
101,277,14983858080745346212342049973925,1065773764946955463053657843204,133019165336738929060120082660340,14945906772955209419887378179997,14945906772955209419887378179997,240106796636712868339566936210,277,232579772276105,1,1032363194300802,133019165336738929060120082660340
102,278,983320808450,981718327489,661590775791,694746018145,2778984072580,4759645869,2,701185,1,990817,2778984072580
103,285,76,49,225,14,532,15,19,2,1,7,532
104,286,11,2,44,3,39,1,11,1,2,1,44
105,287,19017513216,19017237409,1735137425,19017375312,38034750624,6045775,1,137904,1,137903,38034750624
106,291,49,48,97,28,168,1,1,7,3,4,168
107,293,15705303325706301534145925,14764613336211576651809284,5353759948354490004946563,889611509588919417084830,521312344619106778411710380,5353759948354490004946563,293,231520447985,1,3842474897278,521312344619106778411710380
108,295,937445,226796,15839140,909597,909597,26846,5,433,59,62,15839140
109,299,36,13,156,7,161,6,1,6,13,1,161
110,301,2752,729,18576,1003,7021,216,43,8,1,27,18576
111,302,9398643356699544200,9025426439116032001,32222699379772709043,6512555728873969390,26050222915495877560,213395360130945093,2,2167791890,1,3004234751,32222699379772709043
112,303,40822586116,27689958409,522134246505,33621060538,67242121076,1723215335,1,202046,1,166403,522134246505
113,309,11957764,1915203,16577652,1163023,119791369,2762942,1,3458,3,799,119791369
114,310,40,9,120,7,217,6,10,2,1,3,217
115,311,190727483528715254643600,124670583817928357228041,2545474799452668000496453,154201513357195185856260,308403026714390371712520,8184806429108257236323,1,436723577940,1,353087218429,2545474799452668000496453
116,313,169,144,1565,156,312,5,1,13,1,12,1565
117,317,2761253095084587196325,283607850589557281956,31511701858714809904340,2746649821545910809117,2746649821545910809117,49702999777152697010,317,2951368765,1,16840660634,31511701858714809904340
118,318,1083,242,2508,145,7685,209,3,19,2,11,7685
119,319,2500,2401,12441,2450,4900,39,1,50,1,49,12441
120,323,529,304,1785,92,3496,105,1,23,19,4,3496
121,326,2266125842,461041,91423276,177496671,28931957373,22855819,2,33661,1,679,28931957373
122,327,6922040749,6897607500,581084251,382113550,249902261700,581084251,109,7969,3,47950,249902261700
123,330,8,3,24,1,55,2,2,2,3,1,55
124,334,3274885399752,1127604000769,5435272857048,237922439923,39733047467141,1358818214262,2,1279626,1,1061887,39733047467141
125,335,7828804,6911641,67297815,7355942,14711884,200889,1,2798,1,2629,67297815
126,341,13924,2475,38940,2461,76291,1770,1,118,11,15,76291
127,349,19385975941,12934512900,14440029059,847629690,591645523620,14440029059,349,7453,1,113730,591645523620
128,353,289,64,272,15,5295,136,1,17,1,8,5295
129,357,21,4,84,5,85,2,21,1,1,2,85
130,358,956307324451250,419801702617969,11495823199788309,448028706128675,1792114824514700,64222475976471,2,21866725,1,20489063,11495823199788309
131,359,3302812394010000,3302771130607081,312813392875699,3302791762244100,6605583524488200,871346498261,1,57470100,1,57469741,6605583524488200
132,365,80957528885,9001075876,1031459691860,80455590957,80455590957,1412958482,365,14893,1,94874,1031459691860
133,366,122,121,27,11,2684,9,122,1,1,11,2684
134,367,268375455300992413724915588959538171729183296,246962909981075733725521615532807811435729,16282356513555303405602521827396505718719056,14009078801819023411725766823592818540595095,5141331920267581592103356424258564404398399865,8141178256777651702801260913698252859359528,1,16382168821648506431464,1,496953629608513608777,5141331920267581592103356424258564404398399865
135,371,53,28,45,2,1484,45,53,1,7,2,1484
136,373,2528397723062320973179188676827215493925,268218643743370556175474368869395176964,31809115123190932935220601703406073875020,2514130824984092988511597943525998235677,2514130824984092988511597943525998235677,42639564508298837714772924535396881870,373,2603564129117970265,1,16377382078444972158,31809115123190932935220601703406073875020
137,374,1682,1,116,123,23001,29,2,29,1,1,23001
138,381,158404,146523,678307,87958,527748,5341,1,398,3,221,678307
139,382,33312967200,7863965041,45779646960,2342317103,447382566673,11444911740,2,129060,1,88679,447382566673
140,383,403654067228736,303839168346289,5200657082475505,350208389514552,700416779029104,13578739118735,1,20091144,1,17430983,5200657082475505
141,386,121,72,1351,66,264,7,1,11,2,6,1351
142,389,84049783723809350326254513125,5237316101673450088070309764,827613354444026494185599057300,83886451016062654719097093923,83886451016062654719097093923,1063770378462758989955782850,389,14699193245425,1,72369303587042,827613354444026494185599057300
143,390,8,5,39,2,40,1,2,2,5,1,40
144,391,327184,308025,2181389,317460,634920,5579,1,572,1,555,2181389
145,395,80,1,40,9,711,4,5,4,1,1,711
146,397,4720652373925,4280901693156,1989582752483,225617812530,179140543148820,1989582752483,397,109045,1,2069034,179140543148820
147,398,860278445000,650976262561,7933818298539,529160111350,2116640445400,39868433661,2,655850,1,806831,7933818298539
148,399,64,57,77,8,912,11,1,8,57,1,912
149,406,3712,9,2784,1403,9821,24,58,8,1,3,9821
150,407,4662023125,4661617356,61508083,231077850,188097369900,61508083,37,11225,11,20586,188097369900
151,410,81,40,451,18,360,11,1,9,10,2,451
152,413,4110604996,2277480771,9053788345,398340282,47004153276,1293398335,1,64114,59,6213,47004153276
153,415,881971204,245580241,930794716,41582073,17256560295,465397358,1,29698,1,15671,17256560295
154,421,452568163984303525,36031587602493924,5240283014136092580,451131541511971043,451131541511971043,6223614031040490,421,32786945,1,189819882,5240283014136092580
155,422,638450,47089,490420,43833,9248763,122605,2,565,1,217,9248763
156,426,96,25,240,11,781,20,6,4,1,5,781
157,429,12,1,12,1,143,2,3,2,1,1,143
158,430,3483,3362,2035,369,63468,407,43,9,2,41,63468
159,431,193276189912334400,3177076466844721,49560195099369360,9308528605949417,4011975829164198727,24780097549684680,1,439631880,1,56365561,4011975829164198727
160,434,56,25,279,10,280,9,14,2,1,5,280
161,437,79459396,29545171,422398804,15380505,353751615,11115758,1,8914,19,1247,422398804
162,438,49,24,365,14,168,5,1,7,6,2,365
163,439,70989410337024400,43044356506452921,1182773186854661899,55278327459590820,110556654919181640,2694244161400141,1,266438380,1,207471339,1182773186854661899
164,442,121,104,255,22,1144,15,1,11,26,2,1144
165,445,89,80,39,4,3560,39,89,1,5,4,3560
166,446,2835884807783552,377414273685409,2926162545020512,188215613276049,41972081760558927,731540636255128,2,37655576,1,19427153,41972081760558927
167,447,503643364,461433361,4267193865,482076602,964153204,9546295,1,22442,1,21481,4267193865
168,453,1708547008996,1567254468675,8360011553071,944762392490,5668574354940,55364314921,1,1307114,3,722785,8360011553071
169,454,1002780063842,856940855521,7846463625939,655485776279,2621943105116,34565919057,2,708089,1,925711,7846463625939
170,455,64,1,16,3,1365,8,1,8,1,1,1365
171,457,64009,41616,1039675,51612,103224,2275,1,253,1,204,1039675
172,461,50724269719704638882388101,36304957961648911912322500,35424589849428746879263101,1998666844073611690454150,1842770830235869978598726300,35424589849428746879263101,461,331709140421,1,6025359571150,1842770830235869978598726300
173,462,14,11,15,1,308,5,14,1,11,1,308
174,463,1162623700824087616,141856298295251409,812220399914286576,53628001541695385,24829764713804963255,406110199957143288,1,1078250296,1,376638153,24829764713804963255
175,465,16,15,31,4,120,1,1,4,15,1,120
176,469,1467568,1212201,2188669,162948,21835032,312667,67,148,1,1101,21835032
177,470,47,2,188,21,105,1,47,1,2,1,188
178,471,141394357,11548332,1753945596,140921965,140921965,1861938,157,949,3,1962,1753945596
179,478,115925065606428893644500000,1634220262284462674687761,38930408795252255319654000,7497823996743802296254569,1791979935221768748804841991,9732602198813063829913500,2,7613312866500,1,1278366247319,1791979935221768748804841991
180,479,2145542400,522076801,2116731360,95085809,45546102511,1058365680,1,46320,1,22849,45546102511
181,485,19921511285,6611966596,505507183220,18792245997,18792245997,521141426,485,6409,1,81314,505507183220
182,487,1019034345734453406615667216,409136538889385517944610009,1291393333145566031405439576,42291602613354254170077115,20596010472703521780827555005,645696666572783015702719788,1,31922317361596,1,20227123841253,20596010472703521780827555005
183,493,59747170703125,9162402086916,1039002998182500,59040450498163,59040450498163,1053755576250,493,348125,1,3026946,1039002998182500
184,494,2299,1458,6409,297,22572,493,19,11,2,27,22572
185,501,239341872,17330569,223103496,18472213,3084859571,37183916,3,8932,1,4163,3084859571
186,502,347052959946050,33057359699809,302954181774340,21806187942363,5473353173533113,75738545443585,2,13172945,1,5749553,5473353173533113
187,503,15881569125140359780032984660061332598637667216,15492409457317760025384676078081128557650708009,78366906299544891487468759852203246736490979835,15685782470484864342782239490843011659365662788,31371564940969728685564478981686023318731325576,155799018488160818066538289964618780788252445,1,126022097765194972888404,1,124468507893835378881997,78366906299544891487468759852203246736490979835
188,505,101,20,2020,99,99,2,101,1,5,2,2020
189,509,86021,28900,2249780,81021,81021,2210,509,13,1,170,2249780
190,510,32,17,105,4,272,7,2,4,17,1,272
191,511,359178304,4601025,81304080,15887809,8118670399,40652040,1,18952,1,2145,8118670399
192,514,257,32,4112,255,255,4,257,1,2,4,4112
193,517,36,11,132,5,235,6,1,6,11,1,235
194,518,1184,841,2205,116,17168,315,74,4,1,29,17168
195,519,326025012196,4124593729,73340867756,14309764395,7426767721005,36670433878,1,570986,1,64223,7426767721005
196,526,28486152,18769,2068152,1756531,461967653,517038,2,3774,1,137,461967653
197,527,576,49,336,25,13175,168,1,24,1,7,13175
198,533,19348233125,18912300484,4083995037,828570050,883255673300,4083995037,533,6025,1,137522,883255673300
199,534,49298,47089,238431,34069,136276,893,2,157,1,217,238431
200,535,174724,96721,3365685,129998,259996,6291,1,418,1,311,3365685
201,541,3695829951343408861029541,2655840753566898560252100,2570149591160061699024541,134697139591400928750390,145742305037895804907921980,2570149591160061699024541,541,82652759501,1,1629675045390,145742305037895804907921980
202,542,139028384968680306034023200,36879659147456455555864081,202530381907827117703776560,8142817125003087967450503,2206703440875836839179086313,50632595476956779425944140,2,8337517165460,1,6072862516759,2206703440875836839179086313
203,543,130750714824264730429,27089515171392307500,2773655779498208400900,127913672431195199179,127913672431195199179,2554010846683433150,181,849929197,3,3004968950,2773655779498208400900
204,546,7,6,13,1,84,1,7,1,6,1,84
205,551,122500,32041,125300,5037,2775387,62650,1,350,1,179,2775387
206,557,1698956704241831560325,1616556585387687403684,522684119835266127363,70219707123123640670,78224753735159735706380,522684119835266127363,557,1746479765,1,40206424678,78224753735159735706380
207,559,1306357,1301868,108205,55158,61666644,108205,13,317,43,174,61666644
208,561,17,16,33,4,136,1,17,1,1,4,136
209,565,949765,311364,25852140,897277,897277,22878,565,41,1,558,25852140
210,566,19462073861042,258756359761,6347242163764,1156797950661,327373820037063,1586810540941,2,3119461,1,508681,327373820037063
211,573,72524591339947200,49616483059370929,731041724492173487,34633390235466360,207800341412798160,3827443583728657,3,155482680,1,222747577,731041724492173487
212,574,288,1,48,17,4879,12,2,12,1,1,4879
213,581,306916,269667,387737,31578,5241948,55391,1,554,83,57,5241948
214,582,194,169,165,13,5044,55,194,1,1,13,5044
215,583,4127673125,4045752524,818273757,169245850,197340661100,818273757,53,8825,11,19178,197340661100
216,589,16931584,5130225,81250080,2898049,89839519,2138160,19,944,1,2265,89839519
217,590,16810,4489,54940,2109,124431,2747,10,41,1,67,124431
218,591,1976836,32761,508972,81305,48051255,254486,1,1406,1,181,48051255
219,597,20332217085474456484,12746213318246067075,223462941969509949337,9294420839126103590,55766525034756621540,1122929356630703263,1,4509125978,3,2061246655,223462941969509949337
220,598,899496,528529,3490595,135222,7031544,151765,26,186,1,727,7031544
221,599,3038870911771011886354576369729571392520234010000,1684988316181288974002607111763585731071026338361,61894546810293189691320945464794229454334841321189,2262843781774900979371992147303577764817090043100,4525687563549801958743984294607155529634180086200,103329794341057077948782880575616409773513925411,1,1743235759090264843329900,1,1298070998128102765757269,61894546810293189691320945464794229454334841321189
222,602,25,18,301,15,60,1,1,5,2,3,301
223,606,2187,338,4212,215,21715,351,3,27,2,13,21715
224,607,125293941159013578901968618425335451919780530015678850455884723272256,28106647023546616494565410735723361950369596834744611141477253594769,118686015660572478617286406316830756329207954399029874687241916226384,4955915720937431961422124857175280718996334083196345576755086970945,3008240842609021200583229788305395396430774788500181765090337791363615,59343007830286239308643203158415378164603977199514937343620958113192,1,11193477616854092718151692958821016,1,5301570241310268303909957034492887,3008240842609021200583229788305395396430774788500181765090337791363615
225,609,28,1,28,3,261,2,7,2,1,1,261
226,613,134258586449534325996866004325,2167741978776656970024461796,844763346683257932251866810020,134241085104898238078024139997,134241085104898238078024139997,689040250149476290580641770,613,14799287186305,1,46559016084714,844763346683257932251866810020
227,614,7188810031138898,3271718393929969,112157382562582251,3429268289981509,13717073159926036,365333493689193,2,59953357,1,57198937,112157382562582251
228,615,484,361,7995,418,836,13,1,22,1,19,7995
229,622,16200,961,11160,917,285187,2790,2,90,1,31,285187
230,623,9246113759335228416,917852707195412209,5826343808956896576,368607997243088375,229642782282444057625,2913171904478448288,1,3040742304,1,958046297,229642782282444057625
231,629,629,100,12580,621,621,10,629,1,1,10,12580
232,631,7121391825113218180095235600,7063072218419717533435319241,22846960887515232259768941083,7092172076059524025842502860,14184344152119048051685005720,36207544988138244468730493,1,84388339390660,1,84042085995171,22846960887515232259768941083
233,638,44839971,38281250,125737417,8833125,388657500,4335773,11,2019,2,4375,388657500
234,645,125,4,100,11,1419,10,5,5,1,2,1419
235,646,18,1,12,1,323,3,2,3,1,1,323
236,647,1322160612567067320518390399934355553879100499050449996991864027974293776,582675374825367622310345719733993297770816424257895824163140848520889449,30188788749605514896983129272578659493630515521376767235639790005549796995,877718878973702839296230983918439794458510385648046237924415613421606868,1755437757947405678592461967836879588917020771296092475848831226843213736,46659642580534026115893553744325594271453656138140289390478809900386085,1,1149852430778431376586487272927719076,1,763331759345415695713922022788822893,30188788749605514896983129272578659493630515521376767235639790005549796995
237,651,28,3,84,5,155,2,7,2,3,1,155
238,653,16039906351002089646726601004613956083758645547269701746398265925,14182059891839277799515376046557567884269244616864333585635276676,7493181765658755375436756030097818774135492179723086815585851843,590220080594186255660480500119274461497954482281765830268300010,770827425256007249892587533155772446716328553859986174330399813060,7493181765658755375436756030097818774135492179723086815585851843,653,4956148647851982833406804183365,1,119088454066039826980851213749474,770827425256007249892587533155772446716328553859986174330399813060
239,654,36842,14641,685828,19519,58557,1573,218,13,1,121,685828
240,655,250986125,4150604,1652080300,250951803,250951803,1261130,5,7085,131,178,1652080300
241,658,128,47,1504,45,315,8,2,8,47,1,1504
242,661,1827011937314914952625145627525,1788754861111702406537568159684,371925618827814761087970239363,70314578257669676227714388190,92955872456639311973038421187180,371925618827814761087970239363,661,52573871914105,1,1337443404825678,92955872456639311973038421187180
243,662,3964067407661153562050,2971995056622029919649,47724585785960000465937,2427054669726812462015,9708218678907249848060,144183038628277947027,2,44520037105,1,54516007343,47724585785960000465937
244,663,325,204,253,10,13260,253,13,5,51,2,13260
245,669,196,27,252,13,2899,42,1,14,3,3,2899
246,670,603,242,8844,247,1235,33,67,3,2,11,8844
247,671,36,25,671,30,60,1,1,6,1,5,671
248,674,337,288,175,12,16176,175,337,1,2,12,16176
249,677,47927715455890725716869695510411087930312812511079044688038242680325,37092798385418402372420837363147418226160953779371767824311918038756,30351115576853657332945034531110600660228196360187238602401302446717,1620480574304202017225761148340210737425023439815727980889067889290,2194130697607889531323680594852645338473481737510495686123797922098660,30351115576853657332945034531110600660228196360187238602401302446717,677,266071911559565396617913225699185,1,6090385733713292676671917039688234,2194130697607889531323680594852645338473481737510495686123797922098660
250,678,7106450,6589489,48991941,4838795,19355180,144519,2,1885,1,2567,48991941
251,679,23324765703184,22433058686025,166448031329293,22874567490060,45749134980120,245137012267,1,4829572,1,4736355,166448031329293
252,685,101380695056485,14140593118404,1981922767229340,100389685508003,100389685508003,1446658954182,685,384709,1,3760398,1981922767229340
253,687,7502269,410700,92016780,7491019,7491019,66970,229,181,3,370,92016780
254,689,689,400,561,20,27560,561,689,1,1,20,27560
255,694,144722,108241,1789479,88501,354004,5157,2,269,1,329,1789479
256,695,57924313445,26709551116,51398696163,1492008646,2073892017940,51398696163,5,107633,139,13862,2073892017940
257,701,424441571475461208113369493075504899525,415387564510365861372968392912738762084,87199878708090445365261200680383476163,15859032655393193376803607743546935490,22234363782861257114278658056452803556980,87199878708090445365261200680383476163,701,778126037665372045,1,20381058964400398922,22234363782861257114278658056452803556980
258,703,1384862947204,774007569729,30448097447495,1035323333154,2070646666308,43311660665,1,1176802,1,879777,30448097447495
259,709,204901,44100,5062260,200099,200099,3570,709,17,1,210,5062260
260,710,1440,1369,3763,444,8880,53,10,12,1,37,8880
261,717,5402982087403200,442947484849,169466362194960,349489856794871,83528075773974169,28244393699160,3,42438120,1,665543,83528075773974169
262,718,40949496158275253352971518245000,6499888481560323372961451565601,46144742574197726856241545401400,2133831923521181067710113162381,766045660544104003307930625294779,11536185643549431714060386350350,2,4524903101629650,1,2549487886137199,766045660544104003307930625294779
263,719,350438400,272613121,5904549511,309085920,618171840,8212169,1,18720,1,16511,5904549511
264,721,112,9,168,11,1133,12,7,4,1,3,1133
265,723,10609,1200,12360,679,163639,2060,1,103,3,20,163639
266,727,262866283445837565478197874923005550901524713509432228282087904339282031376,134743807384934886048168596694816992039931007003491174422071019408679945849,6085672341912300236917865251903318160133212911086273462049109984006456127205,188200966694168802136761885006170373372405633027052441173978894160666942668,376401933388337604273523770012340746744811266054104882347957788321333885336,8370938572093948056283170910458484401833855448536827320562737254479306915,1,16213151558097443674133462376327492124,1,11607920028365757398549972945257395957,6085672341912300236917865251903318160133212911086273462049109984006456127205
267,731,1521,688,5593,156,13416,329,1,39,43,4,13416
268,733,42202047131581996388978204646062320777476945363051718065925,30875705726293957067602327680955336278845752827135827134404,28769837990499125477170065737088959176746219601352595481597,1333285691198472648271687085455146717381036670267183692330,1954596823296960902366293267277245087680599758611691292955780,28769837990499125477170065737088959176746219601352595481597,733,7587780721511267936796299165,1,175714842077423718884281543602,1954596823296960902366293267277245087680599758611691292955780
269,734,829472,18769,352912,43287,15886329,88228,2,644,1,137,15886329
270,741,16,3,24,1,247,4,1,4,3,1,247
271,742,1991056936,675116289,23873388264,707967485,4955772395,112610322,106,4334,1,25983,23873388264
272,743,442081912085141580068205924381130314284533683543584687891856,4923545999394502506171933125524998796854945340571916996169,93308319664464454359443967967764690649353768069101035086216,16217406517140444465014020063349090599229665470077028061835,12049533042235350237505416907068374315227641444267231849943405,46654159832232227179721983983882345324676884034550517543108,1,664892406397562627531460993684,1,70167984148003728340455310237,12049533042235350237505416907068374315227641444267231849943405
273,749,207152,94249,488061,13508,2890712,69723,107,44,1,307,2890712
274,751,270400,53361,240240,9673,7264423,120120,1,520,1,231,7264423
275,757,13602273107694756028798442021854633219790498492407291327120413272088837819189925,6244756715574614879455468252566469219452570766747039517820858029581943762708004,12084074116770457166501887767874662868878862462330807851803877009240931548186397,334977446225855318872757725991382864527514193276274353405253195090312274762390,507155853585944952773355197150953656894656488620279371055553337366732783990258460,12084074116770457166501887767874662868878862462330807851803877009240931548186397,757,134047218103304241673334209140989001305,1,2498951123086366985427431466492641572998,507155853585944952773355197150953656894656488620279371055553337366732783990258460
276,758,29448487134996834815262304148851250,186062309862174127714929896033329,6620727173526502897720218829084300,1512636984666097486685663806464939,573289417188450947453866582650211881,1655181793381625724430054707271075,2,121343494129262725,1,13640465896081927,573289417188450947453866582650211881
277,759,12,11,23,2,132,1,3,2,11,1,132
278,761,640001,1600,1765520,639999,639999,1160,761,29,1,40,1765520
279,766,691932401810510112,23501280303420529,360680438349160272,35335694809562929,13533571112062601807,90170109587290068,2,588188916,1,153301273,13533571112062601807
280,767,211010428335204,14971660478329,112413104047908,7599942551825,5829155937249775,56206552023954,1,14526198,1,3869323,5829155937249775
281,773,989084230222373972333910805925,395556919548784859614258538116,34780904704751228519087459803540,906544173149693914361525969763,906544173149693914361525969763,22497351038002088304713751490,773,35770654935185,1,628933159841954,34780904704751228519087459803540
282,777,148,27,1332,55,385,6,37,2,3,3,1332
283,781,4324112302500,3683537773619,19083874447337,1203329887650,26473257528300,268786964047,1,2079450,11,578677,26473257528300
284,782,24200,5041,31240,1197,468027,7810,2,110,1,71,468027
285,789,8489443248,6945388921,79169904013,4433301444,26599808664,301026251,3,53196,1,83339,79169904013
286,790,77440,1521,68640,8711,688169,3432,10,88,1,39,688169
287,791,113,112,15,4,6328,15,113,1,7,4,6328
288,793,19825,17424,9457,660,1046760,9457,793,5,1,132,1046760
