,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
1480,4183,38925857205481,32093376393200,207812757132627,5155584014060,484624897321640,2334974799243,1,6239059,47,826340,484624897321640
1481,4189,2081001924,1873440275,7633880311,257057430,30332776740,107519441,1,45618,59,5635,30332776740
1482,4190,250,169,3771,65,1300,9,10,5,1,13,3771
1483,4191,3367049527,1845733444,16177131663,221211338,56187679852,490216111,127,5149,1,42962,56187679852
1484,4197,15739886608308280321737604,10631222356722263043075,1417042981998162299197260,420816386708057514824153,588722125004572463238990047,236173830333027049866210,1,3967352594402,3,59529327105,588722125004572463238990047
1485,4198,92400942447606473050227153611962493872276966012165812242485222633930532366036487247148155712698871414603427292472403356809080926450,58119049747383859696375174540096222014172524018451048656620597810168815635859331602192301212002858762023258188513250240731430319409,3291059305949839766387628376451962821177219304141785678105808578283890805727706537227402193128960196090031386836332595393297492292459,51818215768287475579131752727654990085986348430233726983178060973746514199649379632581006328142597395367726178100892486032235852595,207272863073149902316527010910619960343945393720934907932712243894986056798597518530324025312570389581470904712403569944128943410380,1567917725559714038298060207933283859541314580343871213961795416047589712114200351227919101061915291133888226220263266028250353641,2,214942948765022846759907705232897474844064492106332006601685584885,1,241078928459921315654862124545362375379681545999930411882600083847,3291059305949839766387628376451962821177219304141785678105808578283890805727706537227402193128960196090031386836332595393297492292459
1486,4199,68,49,741,14,476,3,17,2,1,7,741
1487,4206,363,338,3505,143,1716,5,3,11,2,13,3505
1488,4207,92416,88209,1787975,90288,180576,425,1,304,1,297,1787975
1489,4213,2333836921988265538831780267197071507604586343645999649636,1520009103912420413707824179698139563766527507123998297611,34658744931716807482360705451731132301140550618338313983955,567887102133794397930085556039818245851275738085675228106,12493516246943476754461882232876001408728066237884855018332,90492806610226651389975732249950737078695954617071315885,1,48309801510545099100858250806,11,11755111475873805494219639551,34658744931716807482360705451731132301140550618338313983955
1490,4215,21189363313260351364,353011927896428761,5469953562549465004,326331381981537595,1375486775052180962925,2734976781274732502,1,4603190558,1,594148069,1375486775052180962925
1491,4218,38,37,15,1,2812,5,38,1,37,1,2812
1492,4222,108055792517936553951587229834634608246454108417087441747140085016358336426821869075831975200,30120843098019145786659261334872438548618566714828743800981026062167223358572662497230145201,161362488138101740301907227014178755627337187292494112237299547911902724178200062020348410960,2258599976738614338038139595887131664295545375345562463203424547943927723231724907717510353,4767904550895214867598512686917734943327896287354482359822429220709631423742171280191664355183,40340622034525435075476806753544688906834296823123528059324886977975681044550015505087102740,2,7350367083280145742397008206694357637551778740,1,5488245903566926162504517070391583404567692601,4767904550895214867598512686917734943327896287354482359822429220709631423742171280191664355183
1493,4223,1367816256,1019971969,59224428865,1181158008,2362316016,14024255,1,36984,1,31937,59224428865
1494,4229,25257253347078912924977256771623231896923734984897385856725494737615845574661,23242624994440763574637725249794827406240799289044151043443912791064342620100,9884797924405255382184549603533087582876007743221394166087400182961316369661,372577655302205737647622741139127032670481512317930621487360368096844302030,3151261808546056129023593144554736442326932631185057196540093993363109106569740,9884797924405255382184549603533087582876007743221394166087400182961316369661,4229,2443848152436665665232559142534697153,1,152455321305754242848473843133200018510,3151261808546056129023593144554736442326932631185057196540093993363109106569740
1495,4231,12247269914906531344961914595097300717251263230694360896252136352738529242714310979600,10639331687044919887798322145541808909190449363804509058968272300955912798847583491481,394590702248620598448324346356479039992603201323391323156111269147897079249300120748397,11415023735650180354035972535194541167363391268121676665264859347201375725581268161260,22830047471300360708071945070389082334726782536243353330529718694402751451162536322520,93261806251151169569445603015003318362704609152302368980409186752043743618364481387,1,3499609966111442445947917268037984301382140,1,3261798842210371483686066313281487768122309,394590702248620598448324346356479039992603201323391323156111269147897079249300120748397
